data_celltemp,data_cellpres,data_co2,data_co2abs,data_h2o,data_h2oabs,data_h2odewpoint,data_ivolt,data_raw_co2_co2ref,data_raw_co2_h2o_h2oref,data_raw_co2_h2o,data_datetimer,data
"5.14112e1","1.00269e2","4.67132e2","9.5279455e-2","2.36872e1","1.2918889e-1","2.01950e1","1.2615356e1","3798015","1925748","","2016-09-30T15:05:04.679850",""
"5.14112e1","1.00269e2","4.67151e2","9.5282192e-2","2.36887e1","1.2919437e-1","2.01961e1","1.2622070e1","3797995","1925863","","2016-09-30T15:05:10.668959",""
"5.14112e1","1.00269e2","4.67138e2","9.5280408e-2","2.36906e1","1.2920117e-1","2.01974e1","1.2581787e1","3798027","1925885","","2016-09-30T15:05:16.662005",""
"5.14112e1","1.00247e2","4.67286e2","9.5281000e-2","2.36986e1","1.2920451e-1","2.01993e1","1.2588500e1","3798127","1925750","","2016-09-30T15:05:22.661494",""
"5.14112e1","1.00269e2","4.67136e2","9.5280170e-2","2.36931e1","1.2921035e-1","2.01991e1","1.2588500e1","3798193","1925780","","2016-09-30T15:05:28.662141",""
"5.14112e1","1.00269e2","4.67135e2","9.5280046e-2","2.36947e1","1.2921583e-1","2.02001e1","1.2588500e1","3798394","1925840","","2016-09-30T15:05:34.662994",""
"5.14112e1","1.00247e2","4.67291e2","9.5281839e-2","2.37037e1","1.2922286e-1","2.02027e1","1.2588500e1","3798389","1925938","","2016-09-30T15:05:40.660523",""
"5.14112e1","1.00269e2","4.67152e2","9.5282430e-2","2.36976e1","1.2922644e-1","2.02021e1","1.2507934e1","3798154","1925707","","2016-09-30T15:05:46.656407",""
"5.14112e1","1.00269e2","4.67147e2","9.5281839e-2","2.36989e1","1.2923109e-1","2.02030e1","1.2595214e1","3798522","1925971","","2016-09-30T15:05:52.656305",""
"5.14112e1","1.00269e2","4.67158e2","9.5283384e-2","2.37004e1","1.2923657e-1","2.02041e1","1.2608642e1","3798336","1925868","","2016-09-30T15:06:07.844603",""
"5.14112e1","1.00269e2","4.67468e2","9.5330114e-2","2.38774e1","1.2987458e-1","2.03245e1","1.2548217e1","3798365","1925957","","2016-09-30T15:06:19.858642",""
"5.14112e1","1.00269e2","4.67471e2","9.5330591e-2","2.38786e1","1.2987887e-1","2.03253e1","1.2575073e1","3798490","1926054","","2016-09-30T15:06:25.851883",""
"5.14112e1","1.00225e2","4.67748e2","9.5329284e-2","2.38938e1","1.2988209e-1","2.03284e1","1.2581787e1","3798389","1926012","","2016-09-30T15:06:31.843372",""
"5.14112e1","1.00269e2","4.67474e2","9.5331068e-2","2.38806e1","1.2988579e-1","2.03266e1","1.2581787e1","3798300","1925838","","2016-09-30T15:06:37.833420",""
"5.14112e1","1.00269e2","4.67492e2","9.5333690e-2","2.38811e1","1.2988770e-1","2.03269e1","1.2588500e1","3798483","1925971","","2016-09-30T15:06:43.820737",""
"5.14112e1","1.00247e2","4.67658e2","9.5336914e-2","2.38894e1","1.2989187e-1","2.03290e1","1.2588500e1","3798431","1925956","","2016-09-30T15:06:49.809244",""
"5.14112e1","1.00269e2","4.67475e2","9.5331306e-2","2.38838e1","1.2989735e-1","2.03288e1","1.2588500e1","3798168","1925964","","2016-09-30T15:06:55.800980",""
